Timestamp,Phone_Usage,Hours_Slept
10/31/2023 9:16:50,Yes,7
10/31/2023 9:19:57,Yes,6
10/31/2023 9:21:20,Yes,5
10/31/2023 9:23:03,No,7
10/31/2023 9:23:08,No,5
10/31/2023 9:23:17,Yes,6
10/31/2023 9:23:23,Yes,8
10/31/2023 9:23:50,Yes,7
10/31/2023 9:24:28,Yes,8
10/31/2023 9:24:34,Yes,7
10/31/2023 9:25:21,Yes,6
10/31/2023 9:25:26,Yes,5
10/31/2023 9:25:30,Yes,8
10/31/2023 9:25:34,Yes,7
10/31/2023 9:25:38,Yes,3
10/31/2023 9:26:10,Yes,4
10/31/2023 9:26:37,Yes,9
10/31/2023 9:26:57,Yes,6
10/31/2023 9:32:02,Yes,8
10/31/2023 9:32:55,Yes,6
10/31/2023 9:33:00,Yes,8
10/31/2023 9:35:06,Yes,8
10/31/2023 9:36:07,Yes,7
10/31/2023 9:37:46,Yes,4
10/31/2023 9:38:25,Yes,9
10/31/2023 9:43:01,Yes,7
10/31/2023 9:52:31,Yes,8
10/31/2023 9:52:42,Yes,6.9
10/31/2023 9:58:03,Yes,6.5
10/31/2023 10:01:24,Yes,6.5
10/31/2023 10:02:11,No,8
10/31/2023 10:02:21,Yes,8
10/31/2023 10:05:50,Yes,7
10/31/2023 10:07:43,Yes,6
10/31/2023 10:10:28,No,8
10/31/2023 10:14:03,Yes,5
10/31/2023 10:15:17,Yes,7
10/31/2023 10:17:56,Yes,8
10/31/2023 10:18:01,Yes,7
10/31/2023 10:18:05,Yes,6
10/31/2023 10:18:11,Yes,3
10/31/2023 10:18:20,Yes,7
10/31/2023 10:18:27,Yes,8
10/31/2023 10:18:31,Yes,9
10/31/2023 10:18:38,Yes,6
10/31/2023 10:18:44,Yes,7
10/31/2023 10:18:49,Yes,8
10/31/2023 10:18:59,Yes,5
10/31/2023 10:19:04,Yes,4
10/31/2023 10:21:18,Yes,5
10/31/2023 10:21:22,Yes,7
10/31/2023 10:28:04,Yes,3
10/31/2023 10:28:36,Yes,5
10/31/2023 10:28:43,No,12
10/31/2023 10:28:44,Yes,5
10/31/2023 10:28:44,Yes,7
10/31/2023 10:28:47,Yes,8
10/31/2023 10:34:57,Yes,4
10/31/2023 10:36:11,No,6
10/31/2023 10:41:17,Yes,7
10/31/2023 10:42:17,Yes,8
10/31/2023 10:45:26,Yes,8
10/31/2023 10:46:05,Yes,8
10/31/2023 10:46:06,Yes,8
10/31/2023 10:46:11,Yes,8
10/31/2023 10:46:15,Yes,7
10/31/2023 10:49:54,Yes,8
10/31/2023 10:50:52,Yes,7
10/31/2023 10:51:03,No,9
10/31/2023 10:51:08,Yes,7
10/31/2023 10:51:14,Yes,8
10/31/2023 10:51:29,Yes,6
10/31/2023 10:51:38,No,7
10/31/2023 10:51:43,Yes,5
10/31/2023 10:51:48,Yes,7
10/31/2023 10:53:29,Yes,8
10/31/2023 10:53:40,Yes,6
10/31/2023 10:54:33,Yes,5
10/31/2023 10:54:47,Yes,3
10/31/2023 10:55:18,No,9
10/31/2023 10:55:25,Yes,5
10/31/2023 10:55:30,Yes,6
10/31/2023 10:55:53,Yes,7
10/31/2023 10:56:04,No,8
10/31/2023 10:56:09,Yes,7
10/31/2023 10:56:52,Yes,7
10/31/2023 10:56:55,Yes,5
10/31/2023 10:57:05,Yes,8
10/31/2023 10:57:38,Yes,7
10/31/2023 10:59:25,Yes,6
10/31/2023 10:59:46,No,6
10/31/2023 11:00:20,Yes,7
10/31/2023 11:00:45,Yes,6
10/31/2023 11:02:57,Yes,4
10/31/2023 11:06:42,Yes,3
10/31/2023 11:08:44,Yes,7
10/31/2023 11:13:50,Yes,5
